"main.id","hpq_aquani.id","aquani_line","aquanitype","aquanitype_o","aquani_vol"
"10437858","0","8","26","Malubgas","5"
"10438005","0","21","5","","20"
"10451470","0","5","5","","10"
"10451476","0","6","5","","200"
"10456552","0","32","26","Malansi","2500"
"10464300","0","8","9","","100"
"10464300","1","9","26","Molmol","200"
"10464953","0","8","26","Balarete","30"
"10473783","0","10","9","","50"
"10473783","1","11","5","","50"
"10474629","0","9","26","Indangan","30"
"10474629","1","10","3","","20"
"10474629","2","11","19","Mamsa","5"
"10474629","3","12","23","","5"
"10474629","4","13","22","","3"
"10488043","0","16","26","Mamsa","400"
"10495608","0","8","26","Mamsa","5"
"10495608","1","9","23","Ti-aw","5"
"10495610","0","9","26","Mamsa","5"
"10495610","1","10","19","Dalagang bukid","5"
"10498013","0","10","26","Pirit","240"
"10498013","1","11","9","","240"
"10498013","2","12","5","Tamarong","240"
"10501911","0","12","9","","2"
"10501911","1","13","26","Talingtingon, katambak","2"
"10501911","2","14","19","","1"
"10501911","3","15","5","","2"
"10501911","4","16","23","","1"
"10527862","0","18","9","","25000"
"10527862","1","19","26","Timbungan","25000"
"10527863","0","12","9","","20"
"10527863","1","13","26","Mamsa","20"
"10530132","0","8","26","Mamsa","30"
"10530132","1","9","5","","30"
"10536287","0","7","5","","20"
"10536287","1","8","9","","50"
"10536287","2","9","26","Timbungan","50"
"10536340","0","15","26","Malubgas","50"
"10536340","1","16","9","","50"
"10539249","0","10","9","","100"
"10539251","0","8","9","","50"
"10566104","0","9","9","","50"
"10566108","0","15","9","","240"
"10576954","0","6","23","","25"
"10576954","1","7","9","","6"
"10576954","2","8","4","","5"
"10576955","0","46","3","","3"
"10576955","1","47","5","","3"
"10576955","2","48","23","","4"
"10576956","0","8","3","","6"
"10576959","0","17","5","","5"
"10576959","1","18","8","","15"
"10576959","2","19","9","","15"
"10576963","0","12","9","","5"
"10576963","1","13","4","","3"
"10576963","2","14","3","","2"
"10587606","0","5","9","","25"
"10587606","1","6","16","","25"
"10591943","0","7","9","","20"
"10591943","1","8","5","","10"
"10591943","2","9","11","","7"
"10591948","0","3","5","Mamsa","20"
"10591948","1","4","9","","40"
"10648785","0","4","11","","0"
"10648785","1","5","6","","0"
"10648797","0","6","9","","100"
"10648797","1","7","20","","50"
"10658576","0","8","9","","18"
"10658576","1","9","5","","18"
"10658580","0","7","9","","15"
"10658580","1","8","5","","3"
"10658586","0","7","5","","5"
"10658586","1","8","26","Pilasan","8"
"10658586","2","9","4","Mamsa","6"
"10658589","0","82","9","","5"
"10658589","1","83","23","","6"
"10658589","2","84","18","","6"
"10658590","0","19","19","","3"
"10658590","1","20","26","Crabs","10"
"10658590","2","21","9","","3"
"10658590","3","22","23","","6"
"10658590","4","23","18","","6"
"10658591","0","6","5","","12"
"10658591","1","7","23","","15"
"10722235","0","12","26","Balarete","0"
"10770561","0","7","9","","20"
"10770566","0","8","9","","50"
"10770566","1","9","5","","50"
"10770566","2","10","26","Timbongan","10"
"10794704","0","7","5","","105"
"10887366","0","11","9","","8"
"10887366","1","12","1","","8"
"10887382","0","11","9","","20"
"10895494","0","7","26","Talingtingon","14"
"10895494","1","8","9","","15"
"10895498","0","6","9","","0"
"10895502","0","4","9","","50"
"10895504","0","10","9","","500"
"10895521","0","6","9","","0"
"10996283","0","5","9","","10"
"11029162","0","5","9","","20000"
"11029163","0","20","9","","2000"
"11029164","0","3","9","","10000"
"11029166","0","7","9","","1000"
"11029167","0","6","9","","2000"
"11029168","0","6","9","","2000"
"11029169","0","8","9","","1500"
"11029173","0","5","9","","1000"
"11043099","0","11","9","","5"
"11043099","1","12","3","","5"
"11060025","0","5","9","","1500"
"11060034","0","14","9","","5000"
"11060035","0","10","9","","350"
"11076031","0","6","9","","1500"
"11076032","0","6","9","","1500"
"11076033","0","8","9","","2500"
"11076035","0","10","9","","2500"
"11076042","0","4","9","","2500"
"11076047","0","14","9","","5000"
"11076049","0","22","9","","2500"
"11104640","0","6","26","Talingtingon","15"
"11104640","1","7","5","","12"
"11104641","0","6","26","Katambak","10"
"11104641","1","7","5","Timbongan","10"
"11104656","0","8","5","","2"
"11104656","1","9","19","","2"
"11104656","2","10","13","","1"
"11110053","0","6","11","","8"
"11110053","1","7","10","","30"
"11110053","2","8","1","","30"
"11122564","0","7","9","","500"
"11135916","0","13","1","","100"
"11135919","0","9","1","","100"
"11159079","0","10","9","","120"
"11159079","1","11","9","","60"
"11159079","2","12","9","","70"
"11159079","3","13","","","0"
"11159079","4","14","","","0"
"11159079","5","15","","","0"
"11159079","6","16","","","0"
"11159079","7","17","","","0"
"11159079","8","18","","","0"
"11159079","9","19","","","0"
"11159079","10","20","","","0"
"11159079","11","21","","","0"
"11159079","12","22","","","0"
"11159079","13","23","","","0"
"11159079","14","24","","","0"
"11159079","15","25","","","0"
"11159079","16","26","","","0"
"11159079","17","27","","","0"
"11159079","18","28","","","0"
"11159079","19","29","","","0"
"11159156","0","16","3","","3"
"11159156","1","17","23","","3"
"11172891","0","6","5","Katambak","2"
"11172891","1","7","13","","2"
"11172891","2","9","23","","1"
"11193165","0","6","9","","20"
"11193165","1","7","26","Tamarong","20"
"11193181","0","56","9","","1500"
"11219848","0","9","9","Bogaong,solid,mamsa,babakan,andohaw,kutob","380"
"11219848","1","10","9","Bogaong,solid,mamsa,andohaw,babakan,kutob","380"
"11219848","2","11","9","Bogaong,solid,mamsa,babakan,andohaw,kutob","380"
"11219848","3","12","9","Bogaong,solid,mamsa,andohaw,babakan,kutob","380"
"11219848","4","13","9","Bogaong,solid,andohaw,babakan,mamsa,kutob","380"
"11219848","5","14","9","Bogaong,mamsa,solid.babakan,andohaw,kutob","380"
"11254509","0","4","9","","60"
"11254515","0","8","9","","15"
"11290138","0","5","5","","3"
"11290138","1","6","13","","2"
"11290138","2","7","9","","10"
"11290152","0","33","9","","4"
"11290152","1","34","5","","4"
"11290152","2","35","13","","2"
