"main.id","hpq_spisc_mem.id","spisc_mem_refno"
"10434674","0","1"
"10434674","1","2"
"10434674","2","3"
"10434675","0","1"
"10434676","0","2"
"10437859","0","8"
"10437859","1","1"
"10437859","2","2"
"10437860","0","1"
"10437860","1","15"
"10434543","0","1"
"10434543","1","2"
"10438005","0","1"
"10438185","0","1"
"10438185","1","2"
"10438185","2","3"
"10438186","0","1"
"10438189","0","2"
"10438190","0","1"
"10438949","0","1"
"10438949","1","2"
"10450544","0","2"
"10450545","0","2"
"10450546","0","1"
"10450549","0","1"
"10450550","0","1"
"10450550","1","2"
"10450553","0","1"
"10450553","1","2"
"10450554","0","1"
"10450554","1","2"
"10451298","0","1"
"10451299","0","1"
"10451301","0","1"
"10451468","0","1"
"10451468","1","2"
"10451469","0","1"
"10451470","0","1"
"10451471","0","7"
"10451473","0","1"
"10451473","1","2"
"10451475","0","1"
"10451475","1","2"
"10451477","0","4"
"10451478","0","1"
"10451478","1","2"
"10451481","0","5"
"10437998","0","1"
"10438003","0","5"
"10456547","0","3"
"10456549","0","1"
"10456549","1","2"
"10456552","0","6"
"10456553","0","2"
"10456553","1","1"
"10456554","0","3"
"10457756","0","1"
"10457757","0","1"
"10462085","0","1"
"10462088","0","1"
"10462089","0","1"
"10462089","1","2"
"10464285","0","5"
"10464287","0","1"
"10464287","1","2"
"10464292","0","6"
"10464295","0","2"
"10464296","0","1"
"10464296","1","2"
"10464297","0","1"
"10464300","0","1"
"10464300","1","2"
"10464302","0","1"
"10464302","1","2"
"10464290","0","1"
"10464950","0","1"
"10464950","1","2"
"10464951","0","1"
"10464951","1","2"
"10466106","0","3"
"10466203","0","1"
"10466204","0","1"
"10466205","0","1"
"10466206","0","1"
"10466207","0","1"
"10466209","0","1"
"10466215","0","1"
"10466215","1","4"
"10466215","2","5"
"10466218","0","1"
"10466218","1","2"
"10466220","0","1"
"10466223","0","2"
"10466224","0","2"
"10466224","1","1"
"10466228","0","4"
"10438947","0","1"
"10438947","1","2"
"10438950","0","1"
"10453365","0","1"
"10473754","0","2"
"10473754","1","1"
"10473783","0","2"
"10473784","0","5"
"10473984","0","1"
"10474632","0","1"
"10474634","0","1"
"10453364","0","1"
"10453364","1","2"
"10476457","0","1"
"10476457","1","2"
"10476724","0","1"
"10476725","0","1"
"10476731","0","1"
"10482248","0","2"
"10482249","0","1"
"10482249","1","2"
"10482585","0","2"
"10482585","1","1"
"10482586","0","1"
"10482588","0","2"
"10486010","0","1"
"10486010","1","2"
"10486011","0","5"
"10486017","0","1"
"10486017","1","2"
"10486018","0","1"
"10486018","1","2"
"10486370","0","1"
"10486370","1","2"
"10486371","0","1"
"10488003","0","4"
"10488003","1","5"
"10488011","0","4"
"10488013","0","6"
"10488014","0","1"
"10488038","0","1"
"10488044","0","1"
"10488044","1","2"
"10488045","0","1"
"10488048","0","1"
"10450559","0","3"
"10490598","0","1"
"10490598","1","2"
"10490599","0","1"
"10490599","1","8"
"10490600","0","1"
"10490601","0","1"
"10495608","0","1"
"10495608","1","2"
"10495611","0","2"
"10498007","0","5"
"10498008","0","2"
"10498011","0","2"
"10498011","1","17"
"10498012","0","1"
"10498012","1","2"
"10498013","0","1"
"10498016","0","3"
"10499251","0","2"
"10499252","0","7"
"10499252","1","8"
"10499315","0","1"
"10499317","0","2"
"10499319","0","1"
"10499320","0","1"
"10499320","1","2"
"10476727","0","1"
"10476727","1","2"
"10506778","0","1"
"10506779","0","1"
"10506781","0","3"
"10506784","0","7"
"10506786","0","1"
"10506788","0","1"
"10506912","0","1"
"10506914","0","1"
"10506914","1","2"
"10506919","0","1"
"10506919","1","2"
"10506920","0","1"
"10506927","0","1"
"10507719","0","1"
"10508393","0","1"
"10508397","0","1"
"10508397","1","2"
"10508908","0","1"
"10520784","0","1"
"10520784","1","2"
"10520784","2","3"
"10520784","3","4"
"10520784","4","5"
"10520786","0","1"
"10520787","0","1"
"10520787","1","5"
"10520791","0","1"
"10520791","1","2"
"10520791","2","3"
"10520798","0","1"
"10520798","1","2"
"10520799","0","1"
"10520799","1","2"
"10520800","0","1"
"10520800","1","2"
"10520802","0","1"
"10520802","1","2"
"10520804","0","1"
"10520804","1","2"
"10520804","2","3"
"10520804","3","4"
"10520804","4","5"
"10520804","5","6"
"10520804","6","7"
"10520806","0","1"
"10520806","1","2"
"10522465","0","1"
"10522465","1","2"
"10522466","0","1"
"10522466","1","2"
"10523221","0","1"
"10523221","1","2"
"10523223","0","1"
"10523225","0","1"
"10523225","1","2"
"10523226","0","1"
"10523232","0","2"
"10523234","0","1"
"10523238","0","1"
"10523502","0","1"
"10523502","1","2"
"10523502","2","3"
"10527860","0","1"
"10529102","0","1"
"10529103","0","1"
"10529103","1","2"
"10529106","0","1"
"10529106","1","7"
"10529107","0","1"
"10529110","0","1"
"10529111","0","2"
"10530131","0","1"
"10530131","1","4"
"10530132","0","1"
"10530132","1","2"
"10532111","0","1"
"10532430","0","1"
"10534086","0","1"
"10534087","0","1"
"10534090","0","1"
"10534090","1","2"
"10536292","0","1"
"10536292","1","2"
"10476728","0","1"
"10476728","1","2"
"10536289","0","1"
"10536339","0","1"
"10536339","1","2"
"10539244","0","6"
"10539248","0","1"
"10539254","0","1"
"10539254","1","2"
"10539261","0","1"
"10539261","1","2"
"10566098","0","1"
"10566102","0","2"
"10566104","0","1"
"10566104","1","2"
"10566105","0","1"
"10566105","1","2"
"10566107","0","1"
"10567676","0","1"
"10567676","1","2"
"10567676","2","3"
"10567680","0","1"
"10567680","1","2"
"10567684","0","1"
"10576958","0","1"
"10576961","0","1"
"10576963","0","1"
"10576963","1","2"
"10576966","0","1"
"10576967","0","2"
"10576968","0","1"
"10576968","1","2"
"10576977","0","1"
"10576977","1","2"
"10583155","0","2"
"10583158","0","1"
"10583158","1","2"
"10583160","0","2"
"10583161","0","1"
"10583164","0","1"
"10583164","1","2"
"10587605","0","1"
"10587605","1","2"
"10587607","0","1"
"10587608","0","1"
"10587610","0","1"
"10587610","1","2"
"10591341","0","1"
"10591945","0","1"
"10591951","0","5"
"10591955","0","7"
"10592075","0","1"
"10592077","0","1"
"10592077","1","2"
"10592078","0","1"
"10592078","1","2"
"10536341","0","1"
"10536341","1","2"
"10592316","0","1"
"10592317","0","1"
"10592318","0","1"
"10604726","0","1"
"10604726","1","2"
"10604730","0","2"
"10604732","0","1"
"10604732","1","2"
"10604735","0","1"
"10604737","0","1"
"10604738","0","1"
"10604738","1","2"
"10604740","0","1"
"10606883","0","1"
"10606884","0","1"
"10606887","0","2"
"10606888","0","1"
"10640656","0","9"
"10640657","0","1"
"10648787","0","1"
"10648787","1","2"
"10648788","0","1"
"10648791","0","1"
"10648794","0","2"
"10648795","0","1"
"10648795","1","2"
"10648796","0","1"
"10648797","0","5"
"10648798","0","2"
"10654194","0","2"
"10654196","0","1"
"10654196","1","2"
"10654208","0","1"
"10654208","1","2"
"10658575","0","4"
"10658576","0","1"
"10658576","1","3"
"10658577","0","1"
"10658578","0","1"
"10658579","0","5"
"10658583","0","1"
"10658583","1","2"
"10658586","0","2"
"10658587","0","1"
"10658587","1","2"
"10658590","0","6"
"10662181","0","1"
"10662181","1","2"
"10662182","0","1"
"10662183","0","1"
"10722229","0","1"
"10722229","1","2"
"10722230","0","1"
"10722234","0","1"
"10730105","0","1"
"10730105","1","2"
"10730113","0","1"
"10730113","1","2"
"10770562","0","1"
"10770563","0","7"
"10770574","0","1"
"10770574","1","2"
"10770576","0","1"
"10770576","1","2"
"10770582","0","1"
"10774671","0","1"
"10774671","1","2"
"10774672","0","1"
"10774673","0","7"
"10776282","0","2"
"10776283","0","1"
"10776283","1","2"
"10776285","0","1"
"10776287","0","1"
"10776287","1","2"
"10776288","0","1"
"10776288","1","2"
"10776289","0","1"
"10776289","1","2"
"10776290","0","2"
"10776291","0","1"
"10776293","0","2"
"10776294","0","1"
"10776295","0","5"
"10776295","1","6"
"10776296","0","1"
"10776300","0","1"
"10788741","0","1"
"10788742","0","5"
"10788747","0","2"
"10788748","0","1"
"10788749","0","1"
"10788750","0","1"
"10788750","1","2"
"10788758","0","1"
"10794709","0","1"
"10794711","0","1"
"10794712","0","1"
"10799638","0","2"
"10801648","0","8"
"10801649","0","1"
"10801652","0","1"
"10801653","0","3"
"10801658","0","1"
"10801662","0","3"
"10801666","0","1"
"10801667","0","1"
"10801667","1","2"
"10801669","0","1"
"10801671","0","1"
"10801672","0","2"
"10801673","0","1"
"10801673","1","2"
"10801674","0","1"
"10801674","1","2"
"10811319","0","1"
"10811322","0","3"
"10817129","0","1"
"10817129","1","2"
"10817132","0","6"
"10817133","0","3"
"10817135","0","1"
"10820411","0","1"
"10820713","0","1"
"10820716","0","1"
"10820720","0","1"
"10820728","0","1"
"10820728","1","2"
"10820730","0","2"
"10820731","0","2"
"10820732","0","2"
"10820733","0","1"
"10820738","0","5"
"10820740","0","1"
"10820741","0","1"
"10820741","1","2"
"10870616","0","1"
"10870616","1","2"
"10870619","0","1"
"10870621","0","1"
"10870622","0","6"
"10870623","0","1"
"10870626","0","1"
"10870629","0","1"
"10887365","0","1"
"10887367","0","1"
"10887367","1","2"
"10887369","0","1"
"10887370","0","1"
"10887370","1","2"
"10887371","0","1"
"10887372","0","1"
"10887373","0","3"
"10887373","1","2"
"10895479","0","1"
"10895479","1","2"
"10895479","2","3"
"10895480","0","1"
"10895481","0","1"
"10895481","1","2"
"10895482","0","1"
"10895483","0","1"
"10895483","1","2"
"10895483","2","5"
"10895485","0","9"
"10895485","1","1"
"10895485","2","2"
"10895487","0","1"
"10895495","0","1"
"10770572","0","1"
"10895503","0","1"
"10895507","0","1"
"10895507","1","2"
"10895509","0","1"
"10895509","1","2"
"10895514","0","10"
"10919078","0","1"
"10919082","0","1"
"10919082","1","2"
"10919084","0","1"
"10919086","0","2"
"10919086","1","1"
"10919090","0","6"
"10919092","0","1"
"10919092","1","2"
"10919093","0","1"
"10996282","0","1"
"10996282","1","2"
"10996283","0","1"
"10996284","0","1"
"11029159","0","1"
"11029159","1","2"
"11029162","0","1"
"11029165","0","1"
"11029165","1","2"
"11029173","0","1"
"11043089","0","2"
"11043089","1","1"
"11043094","0","1"
"11043094","1","2"
"11043096","0","3"
"11043097","0","6"
"11043097","1","7"
"11043100","0","1"
"11043103","0","1"
"11043103","1","2"
"11060036","0","1"
"11060036","1","2"
"11060037","0","3"
"11076044","0","1"
"11076044","1","2"
"11076050","0","5"
"11076055","0","1"
"11076055","1","2"
"11076058","0","6"
"11102086","0","1"
"11102087","0","1"
"11102088","0","1"
"11102094","0","1"
"11102104","0","1"
"11102105","0","1"
"11102106","0","2"
"11102113","0","1"
"11102114","0","1"
"11104632","0","3"
"11104632","1","4"
"11104635","0","2"
"11104637","0","1"
"11104637","1","2"
"11104639","0","1"
"11104644","0","2"
"11104644","1","3"
"11104645","0","1"
"11104645","1","2"
"11104647","0","1"
"11104648","0","1"
"11104648","1","2"
"11104652","0","1"
"11110060","0","1"
"11110062","0","1"
"11122553","0","3"
"11122556","0","1"
"11122556","1","2"
"11122564","0","1"
"11122564","1","2"
"11122566","0","1"
"11122567","0","1"
"11122567","1","2"
"11122572","0","6"
"11122573","0","1"
"11122573","1","2"
"11122583","0","2"
"11122584","0","1"
"11122585","0","2"
"11122586","0","2"
"11122586","1","3"
"11133605","0","1"
"11135907","0","5"
"11135908","0","4"
"11135914","0","1"
"11135915","0","2"
"11135917","0","1"
"11135918","0","1"
"11135919","0","1"
"11135919","1","2"
"11135921","0","3"
"11135929","0","1"
"11135929","1","2"
"11146017","0","1"
"11152803","0","1"
"11152804","0","1"
"11152804","1","2"
"11152830","0","3"
"11152830","1","4"
"11152835","0","1"
"11152836","0","2"
"11152837","0","1"
"11152840","0","1"
"11152843","0","1"
"11159061","0","1"
"11159064","0","1"
"11159064","1","2"
"11159069","0","1"
"11159069","1","2"
"11159079","0","1"
"11159079","1","2"
"11159084","0","1"
"11159086","0","4"
"11159088","0","2"
"11159091","0","1"
"11159093","0","1"
"11159098","0","1"
"11159098","1","5"
"11172871","0","1"
"11172876","0","1"
"11172876","1","2"
"11172884","0","6"
"11172886","0","1"
"11172888","0","1"
"11172889","0","5"
"11172891","0","4"
"11172892","0","1"
"11172892","1","2"
"11172893","0","4"
"11172894","0","1"
"11172894","1","2"
"11172897","0","1"
"11172898","0","5"
"11172899","0","2"
"11176288","0","1"
"11176293","0","1"
"11176295","0","1"
"11176295","1","2"
"11176296","0","2"
"11176298","0","1"
"11176299","0","2"
"11176301","0","1"
"11176301","1","2"
"11176303","0","1"
"11176308","0","1"
"11176309","0","6"
"11188890","0","1"
"11188893","0","1"
"11188893","1","3"
"11188895","0","1"
"11188900","0","1"
"11188901","0","2"
"11188902","0","1"
"11188906","0","2"
"11188906","1","3"
"11188906","2","4"
"11188906","3","5"
"11188908","0","1"
"11188908","1","2"
"11188909","0","2"
"11188909","1","3"
"11188910","0","1"
"11188910","1","2"
"11188911","0","4"
"11188913","0","1"
"11188913","1","2"
"11188919","0","1"
"11188920","0","1"
"11188923","0","1"
"11188924","0","5"
"11188927","0","1"
"11188993","0","1"
"11188995","0","2"
"11193160","0","1"
"11193166","0","1"
"11193171","0","1"
"11193172","0","2"
"11193176","0","1"
"11193178","0","1"
"11193178","1","2"
"11219840","0","1"
"11219841","0","1"
"11219843","0","1"
"11219843","1","2"
"11219851","0","1"
"11225209","0","1"
"11225212","0","2"
"11225213","0","1"
"11225213","1","2"
"11225215","0","1"
"11225218","0","1"
"11225218","1","6"
"11226808","0","1"
"11226808","1","2"
"11254464","0","1"
"11254465","0","1"
"11254468","0","1"
"11254468","1","2"
"11254468","2","7"
"11254479","0","1"
"11254479","1","2"
"11254481","0","1"
"11254484","0","1"
"11254484","1","2"
"11254488","0","1"
"11254488","1","2"
"11254493","0","1"
"11254493","1","2"
"11254505","0","1"
"11254509","0","1"
"11254521","0","1"
"11254523","0","6"
"11254528","0","1"
"11290133","0","3"
"11290135","0","1"
"11290141","0","1"
"11290144","0","1"
"11290149","0","1"
"11290149","1","3"
"11290158","0","1"
"11290158","1","2"
"11290159","0","1"
"11290159","1","2"
"11290159","2","3"
"11656161","0","2"
"11656162","0","1"
"11656163","0","6"
"11656163","1","7"
"11656166","0","1"
"11656166","1","2"
